order_date,revenue,profit,orders,profit_margin
2025-01-31,4645751.13,3230160.93,576,0.6952935789309059
2025-02-28,4637194.22,3224572.01,530,0.695371351083932
2025-03-31,5049941.59,3531429.65,591,0.6993010883517962
2025-04-30,4385741.25,3034749.71,537,0.6919582202894436
2025-05-31,5522711.55,3881727.5,556,0.7028662396825704
2025-06-30,4590924.08,3182443.72,547,0.6932032994978214
2025-07-31,5272705.72,3710226.06,554,0.7036664394006803
2025-08-31,5492635.64,3824897.77,595,0.6963683777138365
2025-09-30,4482896.32,3087942.58,565,0.6888275702972314
2025-10-31,4645704.81,3217383.87,585,0.6925502160779777
2025-11-30,4643321.47,3261658.36,510,0.7024407810385784
2025-12-31,4636341.65,3225372.94,561,0.6956719723189511
2026-01-31,4829365.94,3372764.73,574,0.6983866561165998
2026-02-28,4609771.02,3241756.21,509,0.7032358431547432
2026-03-31,4583196.88,3184023.64,561,0.6947167497635407
2026-04-30,5671456.34,4012090.51,559,0.707418036828262
2026-05-31,4870709.4,3402092.62,549,0.698479901100238
2026-06-30,4561978.18,3150939.94,541,0.6906959690894444
